Compound_ID,structure,tPSA,CLogP,text
HW180001,CNS(=O)(=O)C1=CC=C(NCC2=CC=CC=C2)C(C2=CN(C)C=N2)=C1,73.8,2.45851,"HEK293T IC50(nM)=69.88(6.358),
Top=75.85%"
HW180005,CNS(=O)(=O)C1=CC=C(NC2=CC=CC(C)=C2)C(C2=CN(C)C=N2)=C1,73.8,3.96023,HEK293T IC50(nM)=9.851(20.7)
HW180002,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C)C=C2)C(C2=CN(C)C=N2)=C1,73.8,3.34151,"HEK293T IC50(nM)=45.51(16.54)
MCF-7 IC50(nM)=52.01(34.6),Top=79.88%;
61.6(35.3),Top=75%, 39.35,top=69.7%
H226 IC50(nM)=15.2(7.9), Top=63%;14.6(9.5), Top=71%; 24.8, Top=51%; 20.9;
 25, Top=57%
Fu (%) H/R/Mou/D/Mon= 0.67/0.60/1.85/0.4/0.8
MMS(T1/2min)H/R/Mou/D/Mon
 63/16/22/19/22
Solubility(ug/ml):803/FaSSGF (pH 1.6); 
2.58/FaSSIF (pH 6.5); 0.0062/PBS (pH 7.4)
% of CYP inhibition(2C9/2D6/3A4M/3A4T, 10uM)=55.3/19.9/-19/30.5
hERG IC50>30 uM
AUC0-t(h*ng/ml=3538(Mouse),1569(rat),661(dog)"
HW180004,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C)C=C2)C(C2=CN(C)C=N2)=C1,95.39,3.52366,"HEK293T IC50(nM)=38.51(36.97),Top=65.70%
HEK293T IC50(nM)=46.67(20.7)"
HW180003,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C)C=C2)C(C2=CN(C)C=N2)=C1,86.16,3.03334,"HEK293T IC50(nM)=28.47,23.76,16.54,20.7,49.03
H226 IC50(nM)=32.63, 20.45, 24.93,2.082, 2.928, 10.99
9.28, 10.3, 5.91, 12.40, 10.29, 6.043
MCF-7 IC50(nM)=23.35, 53.69,49.19,37.11, 19.47, 34.6, 36.9
Fu (%) H/R/Mou/D/Mon= 0.74/1.01/0.69/0.83/1.37
MMS(T1/2min)H/R/Mou/D/Mon
                     198766/172/193/287/381
% of CYP inhibition(2C9/2D6/3A4M/3A4T, 10uM)=
 31.47/-22.93/-23.90/5.03
Solubility(ug/ml):549.63/FaSSGF (pH 1.6); 2.66/FaSSIF (pH 6.5); 0.53/PBS (pH 7.4)
AUC0-t(h*ng/ml=38613(Mouse),14651(rat),20204.71(dog)"
"HW180010
(VT-104)",CC1=CC=C(C2=C3C=CC(C(=O)NC(C)C4=CC=CC=N4)=CC3=CC=C2)C=C1,41.46,5.586,
HW180008(K-975),C=CC(=O)NC1=CC=C(C)C(OC2=CC=C(CL)C=C2)=C1,38.33,4.726,"H2052 IC50(nM)=20.05,Top=88.5%
HEK293T IC50(nM)=11.85(36.97),Top=25.26%
HEK293T IC50(nM)=16.44(47.78),wuxi
H226 IC50(nM)=25.24(32.63)
H226  IC50(nM)=38.57(Staurosporine47.24)
MCF-7 IC50(nM)=18.28(23.35)13.70(53.69)"
HW180006,CC1=CC=C(OC2=C3C=CC(C(=O)NC(C)C)=CC3=CC=C2)C=C1,38.33,5.854,HEK293T IC50(nM)=43.26(20.7) MCF-7 IC50(nM)=16.64(53.69)Top=50.43%
HW180009,CC1=CC=C(OC2=C3C=CC(C(=O)NC(C)C4=CC=CC=N4)=CC3=CC=C2)C=C1,50.69,5.796,"HEK293T IC50(nM)=3505.81(49.03) HEK293T IC50(nM)=36.55(20.7)
H226 IC50(nM)=20.78(32.63)"
HW180007,CC1=CC=C(OC2=C3C=CC(C(=O)NS(C)(=O)=O)=CC3=CC=C2)C=C1,72.47,4.966,
